embedded_table,column_order,column_name
OPEN_CSV,1,event
OPEN_CSV,2,tradingDay
OPEN_CSV,3,label
OPEN_CSV,4,tradeType
OPEN_CSV,5,posId
OPEN_CSV,6,bidAtSend
OPEN_CSV,7,askAtSend
OPEN_CSV,8,quoteMidAtSend
OPEN_CSV,9,requestedPrice
OPEN_CSV,10,expectedPrice
OPEN_CSV,11,bidAtFill
OPEN_CSV,12,askAtFill
OPEN_CSV,13,fillPrice
OPEN_CSV,14,slippagePts
OPEN_CSV,15,slippageSigned
OPEN_CSV,16,sendTimeUtc
OPEN_CSV,17,fillTimeUtc
OPEN_CSV,18,executionType
OPEN_CSV,19,fillType
OPEN_CSV,20,spreadAtSend
OPEN_CSV,21,spreadAtFill
OPEN_CSV,22,latencyMs
OPEN_CSV,23,slPts
OPEN_CSV,24,tpPts
OPEN_CSV,25,risk$
CLOSE_CSV,1,event
CLOSE_CSV,2,tradingDay
CLOSE_CSV,3,label
CLOSE_CSV,4,tradeType
CLOSE_CSV,5,posId
CLOSE_CSV,6,closeReason
CLOSE_CSV,7,closeType
CLOSE_CSV,8,quoteMidAtCloseSend
CLOSE_CSV,9,expectedPrice
CLOSE_CSV,10,fillPrice
CLOSE_CSV,11,slippagePts
CLOSE_CSV,12,slippageSigned
CLOSE_CSV,13,bidAtCloseSend
CLOSE_CSV,14,askAtCloseSend
CLOSE_CSV,15,expectedClosePrice
CLOSE_CSV,16,fillClosePrice
CLOSE_CSV,17,closeSlippagePts
CLOSE_CSV,18,closeSlippageSigned
CLOSE_CSV,19,sendTimeUtc
CLOSE_CSV,20,fillTimeUtc
CLOSE_CSV,21,executionType
CLOSE_CSV,22,fillType
CLOSE_CSV,23,spreadAtEntry
CLOSE_CSV,24,spreadAtCloseSend
CLOSE_CSV,25,spreadAtCloseFill
CLOSE_CSV,26,maxSpreadDuringTrade
CLOSE_CSV,27,latencyMs
CLOSE_CSV,28,slPts
CLOSE_CSV,29,tpPts
CLOSE_CSV,30,risk$
CLOSE_CSV,31,resultR
CLOSE_CSV,32,durationMin
CLOSE_CSV,33,sessionTag
CLOSE_CSV,34,netProfit
CLOSE_CSV,35,grossProfit
DAY_SUMMARY,1,event
DAY_SUMMARY,2,tradingDay
DAY_SUMMARY,3,openCount
DAY_SUMMARY,4,closeCount
DAY_SUMMARY,5,netProfit
DAY_SUMMARY,6,grossProfit
DAY_SUMMARY,7,avgSlippagePts
DAY_SUMMARY,8,avgSlippageSigned
DAY_SUMMARY,9,avgSpreadAtEntry
DAY_SUMMARY,10,avgSpreadAtClose
DAY_SUMMARY,11,avgLatencyMs
